"Campaign","Ad group","Keyword","Match type","Status"
"DEV - Palm Hills Developments - Search - Mobile","VILLAGE DE LA CAPITALE - AR","كمبوند فيلاج دو لا كابيتال","Phrase","Removed"
"DEV - Modon Egypt - Search - Mobile","Modon Green River Tower - EN","Modon Green River Tower prices","Exact","Removed"
"DEV - Modon Egypt - Search - Mobile","Modon Green River Tower - EN","Modon Green River Tower compound","Exact","Removed"
"DEV - Hyde Park - Search - Mobile","Hyde Park Central - EN","Hyde Park Central compound","Phrase","Removed"
"DEV - Hyde Park - Search - Mobile","Hyde Park Central - EN","Hyde Park Central compound","Exact","Removed"
"DEV - Hyde Park - Search - Mobile","Lagoon Town - AR","كمبوند لاجون تاون","Phrase","Removed"
"DEV - Hyde Park - Search - Mobile","Lagoon Town - AR","لاجون تاون اسعار","Phrase","Removed"
"DEV - Hyde Park - Search - Mobile","Lagoon Town - AR","كمبوند لاجون تاون","Exact","Removed"
"DEV - Hyde Park - Search - Mobile","Lagoon Town - AR","لاجون تاون اسعار","Exact","Removed"
"DEV - Hyde Park - Search - Mobile","Hyde Park Signature - AR","هايد بارك سيجنتشر اسعار","Exact","Removed"
"DEV - Hyde Park - Search - Mobile","Hyde Park Signature - AR","كمبوند هايد بارك سيجنتشر","Exact","Removed"
"DEV - Hyde Park - Search - Mobile","Hyde Park Signature - EN","Hyde Park Signature compound","Exact","Removed"
"DEV - Hyde Park - Search - Mobile","Parkway Residence - Hyde Park - EN","Parkway Residence - Hyde Park compound","Phrase","Removed"
"DEV - Hyde Park - Search - Mobile","Hyde Park Signature - AR","هايد بارك سيجنتشر اسعار","Phrase","Removed"
"DEV - Hyde Park - Search - Mobile","Parkway Residence - Hyde Park - EN","Parkway Residence - Hyde Park compound","Exact","Removed"
"DEV - Hyde Park - Search - Mobile","Hyde Park Signature - EN","Hyde Park Signature compound","Phrase","Removed"
"DEV - Hyde Park - Search - Mobile","Hyde Park Signature - EN","Hyde Park Signature prices","Exact","Removed"
"DEV - Hyde Park - Search - Mobile","Hyde Park Signature - EN","Hyde Park Signature prices","Phrase","Removed"
"DEV - Hyde Park - Search - Mobile","Parkway Residence - Hyde Park - EN","Parkway Residence - Hyde Park prices","Exact","Removed"
"DEV - Hyde Park - Search - Mobile","Hyde Park Signature - AR","كمبوند هايد بارك سيجنتشر","Phrase","Removed"
"DEV - Hyde Park - Search - Mobile","Parkway Residence - Hyde Park - EN","Parkway Residence - Hyde Park prices","Phrase","Removed"
"DEV - Hyde Park - Search - Mobile","Parkway Residence - Hyde Park - AR","بارك واي ريزيدنس - هايد بارك اسعار","Exact","Removed"
"DEV - Hyde Park - Search - Mobile","Parkway Residence - Hyde Park - AR","كمبوند بارك واي ريزيدنس - هايد بارك","Phrase","Removed"
